satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,47,Business travel,Eco,4418,4,4,4,3,2,5,3,3,5,3,3,3,4,3,6,17
neutral or dissatisfied,Loyal Customer,50,Business travel,Eco,1481,2,2,3,5,4,3,4,4,3,3,4,3,3,5,1,10
neutral or dissatisfied,Loyal Customer,23,Business travel,Business,2315,5,3,2,4,4,3,4,5,4,4,2,2,4,1,187,184
satisfied,Loyal Customer,52,Business travel,Business,1546,4,3,3,4,4,3,5,5,3,5,4,3,5,5,0,0
satisfied,Loyal Customer,39,Business travel,Business,4538,2,4,5,5,5,3,4,5,5,5,4,4,5,4,4,20
satisfied,Loyal Customer,47,Business travel,Business,1515,5,4,3,4,2,5,5,3,5,5,5,4,4,4,0,0
satisfied,Loyal Customer,31,Personal Travel,Business,417,5,3,4,2,4,3,3,4,4,5,4,4,3,5,0,25
satisfied,Loyal Customer,56,Personal Travel,Business,101,4,5,3,4,3,4,4,5,5,3,4,4,4,4,44,53
satisfied,Loyal Customer,30,Business travel,Business,1431,5,3,3,4,4,3,5,4,5,5,4,4,5,4,0,0
satisfied,Loyal Customer,43,Business travel,Business,979,2,5,3,4,4,3,3,4,5,5,4,3,5,3,0,5
satisfied,Loyal Customer,18,Personal Travel,Eco,784,3,4,3,2,3,3,3,3,2,2,4,2,3,2,22,34
satisfied,Loyal Customer,36,Business travel,Business,1900,4,4,4,5,4,5,5,4,4,5,5,4,2,5,0,20
satisfied,Loyal Customer,71,Personal Travel,Eco,731,4,3,2,3,2,3,2,2,3,2,3,3,3,3,0,0
satisfied,Loyal Customer,50,Personal Travel,Eco,576,4,4,5,3,3,4,4,3,4,4,5,4,3,2,0,4
satisfied,Loyal Customer,33,Personal Travel,Eco Plus,721,5,3,4,3,4,4,5,3,3,4,3,4,3,3,0,0
satisfied,Loyal Customer,31,Personal Travel,Business,2390,5,3,3,3,3,5,3,5,4,5,4,5,4,4,15,27
satisfied,Loyal Customer,43,Business travel,Business,488,4,2,2,3,5,5,4,4,4,4,3,4,5,4,0,30
neutral or dissatisfied,Disloyal Customer,36,Personal Travel,Eco,1225,3,2,3,5,1,3,2,4,3,3,3,0,3,3,0,0
satisfied,Loyal Customer,34,Personal Travel,Eco,785,4,3,2,4,3,2,4,5,2,3,4,3,3,5,0,0
satisfied,Disloyal Customer,53,Business travel,Eco Plus,2769,3,3,1,3,2,3,2,4,3,4,3,4,5,2,38,52
satisfied,Loyal Customer,34,Business travel,Eco,1026,4,4,3,5,3,3,3,4,5,2,2,4,3,3,4,0
satisfied,Disloyal Customer,50,Business travel,Business,1581,3,3,3,5,5,5,3,3,4,5,4,2,4,4,0,0
satisfied,Loyal Customer,74,Business travel,Business,1142,4,5,5,4,2,5,5,3,3,5,4,2,4,4,0,0
satisfied,Loyal Customer,33,Business travel,Eco,1719,3,4,5,3,2,3,4,4,3,4,3,4,4,4,0,13
neutral or dissatisfied,Loyal Customer,31,Personal Travel,Eco,1059,2,0,3,5,3,3,2,3,3,1,1,3,3,3,71,73
satisfied,Disloyal Customer,15,Personal Travel,Eco Plus,735,5,3,4,4,4,3,4,3,2,3,2,5,3,3,5,0
satisfied,Disloyal Customer,70,Business travel,Business,1833,4,4,4,4,3,5,4,3,4,5,4,2,3,2,0,0
satisfied,Loyal Customer,36,Business travel,Business,515,5,5,3,3,2,3,5,5,4,5,4,5,5,4,0,0
neutral or dissatisfied,Disloyal Customer,33,Business travel,Business,4819,3,3,3,3,2,3,3,3,3,4,3,3,3,2,79,87
neutral or dissatisfied,Disloyal Customer,33,Personal Travel,Eco,1859,2,3,4,2,1,3,1,1,2,2,3,3,3,3,0,0
satisfied,Loyal Customer,22,Personal Travel,Eco Plus,1128,4,3,3,4,2,4,3,4,3,4,4,4,4,5,0,0
neutral or dissatisfied,Loyal Customer,30,Business travel,Business,1190,4,3,5,4,4,5,5,5,5,5,4,4,5,3,0,0
satisfied,Loyal Customer,49,Business travel,Business,4219,5,5,3,1,4,5,4,5,5,4,5,5,4,5,0,18
satisfied,Loyal Customer,41,Business travel,Business,4983,5,5,3,3,5,4,3,5,3,3,3,5,3,5,47,29
satisfied,Loyal Customer,32,Business travel,Business,2224,4,1,4,3,5,3,3,5,2,5,5,3,4,5,0,0
satisfied,Disloyal Customer,49,Business travel,Eco,1685,0,4,2,3,2,2,2,3,1,3,3,1,2,1,7,20
neutral or dissatisfied,Loyal Customer,61,Personal Travel,Eco Plus,2148,2,2,2,4,3,2,4,2,4,4,4,2,4,3,71,69
satisfied,Loyal Customer,18,Business travel,Business,3358,5,2,4,3,4,5,4,3,5,5,5,4,5,5,0,0
satisfied,Loyal Customer,64,Business travel,Business,996,5,3,4,4,4,4,2,3,4,2,3,4,4,4,0,21
satisfied,Loyal Customer,44,Business travel,Business,2434,4,4,5,3,3,4,5,5,4,4,4,4,5,5,0,0
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco,2690,3,4,2,3,1,3,3,3,2,2,3,3,1,5,0,8
satisfied,Loyal Customer,38,Personal Travel,Eco Plus,1746,4,4,4,2,4,3,4,4,5,4,4,5,4,3,0,0
neutral or dissatisfied,Loyal Customer,73,Personal Travel,Eco,619,0,1,1,2,3,3,3,4,4,4,3,3,3,2,48,46
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco,1254,3,4,3,4,1,4,2,1,1,1,3,4,2,2,33,22
satisfied,Loyal Customer,46,Business travel,Eco,1118,2,3,4,3,1,3,5,4,2,1,4,3,3,3,33,42
satisfied,Loyal Customer,30,Business travel,Business,1195,4,4,5,3,4,3,4,4,3,5,4,5,5,5,0,8
satisfied,Loyal Customer,57,Business travel,Business,1620,4,3,4,2,4,2,4,4,5,4,3,5,3,3,32,26
neutral or dissatisfied,Loyal Customer,42,Business travel,Business,1257,4,5,5,2,3,4,4,3,3,5,3,4,5,3,4,4
satisfied,Loyal Customer,44,Business travel,Eco,2044,3,3,3,2,5,3,2,4,3,2,2,4,3,4,0,0
neutral or dissatisfied,Loyal Customer,33,Business travel,Business,1802,4,3,3,3,4,2,2,3,4,3,5,4,5,3,72,77
neutral or dissatisfied,Disloyal Customer,62,Personal Travel,Eco Plus,659,3,4,2,2,2,2,2,2,5,3,4,2,2,3,15,5
satisfied,Loyal Customer,54,Personal Travel,Eco,1596,3,3,3,3,5,4,2,3,3,3,2,3,3,1,48,54
satisfied,Loyal Customer,40,Business travel,Business,665,3,2,4,5,3,5,4,4,5,4,4,3,4,3,0,0
neutral or dissatisfied,Loyal Customer,25,Personal Travel,Eco Plus,2195,4,4,3,5,3,3,4,5,4,5,4,3,4,3,0,0
neutral or dissatisfied,Disloyal Customer,43,Business travel,Business,4045,3,3,4,1,2,4,3,3,3,4,5,4,4,4,2,5
neutral or dissatisfied,Loyal Customer,7,Personal Travel,Eco,1026,4,1,3,2,3,1,3,3,2,2,4,4,3,3,0,9
neutral or dissatisfied,Loyal Customer,47,Personal Travel,Eco,531,2,3,2,3,3,3,3,3,3,2,3,2,4,3,9,12
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Eco,1058,2,4,3,5,3,3,2,2,2,4,2,2,1,2,0,23
satisfied,Disloyal Customer,53,Personal Travel,Business,1542,3,2,2,4,4,3,4,3,4,5,2,3,4,3,0,0
neutral or dissatisfied,Loyal Customer,44,Business travel,Business,824,5,3,3,3,3,5,3,2,4,4,5,2,4,3,0,13
neutral or dissatisfied,Loyal Customer,26,Personal Travel,Eco,2563,3,3,4,4,3,5,2,4,2,4,2,5,3,3,0,23
satisfied,Loyal Customer,42,Business travel,Business,1219,3,2,4,4,3,5,4,4,3,4,4,4,4,2,10,10
satisfied,Loyal Customer,13,Personal Travel,Eco,536,3,2,3,5,1,3,3,4,4,3,2,4,2,3,0,4
satisfied,Loyal Customer,37,Personal Travel,Eco,1099,1,2,3,4,3,3,4,4,3,2,2,3,3,4,10,19
satisfied,Loyal Customer,33,Business travel,Business,4983,5,3,5,2,4,5,4,5,5,4,3,4,5,5,0,4
neutral or dissatisfied,Disloyal Customer,43,Business travel,Eco,2013,2,4,3,3,2,4,2,4,3,1,4,3,3,3,0,0
satisfied,Loyal Customer,25,Business travel,Eco Plus,4983,5,3,2,3,4,3,3,5,4,4,4,4,4,3,45,54
neutral or dissatisfied,Loyal Customer,21,Personal Travel,Business,327,3,2,3,4,2,5,4,4,2,4,5,3,3,4,41,35
satisfied,Loyal Customer,39,Business travel,Eco,1536,1,5,4,3,5,2,4,3,4,4,3,4,2,4,1,0
satisfied,Disloyal Customer,22,Business travel,Business,2443,3,4,4,3,3,1,3,5,4,3,3,4,3,4,0,0
neutral or dissatisfied,Loyal Customer,48,Personal Travel,Eco Plus,1330,3,4,3,2,3,3,3,4,3,4,4,5,4,4,0,7
neutral or dissatisfied,Loyal Customer,31,Business travel,Eco,2201,3,3,3,3,4,3,3,3,3,2,4,4,3,3,0,0
satisfied,Loyal Customer,30,Personal Travel,Business,141,5,4,4,3,2,1,3,4,4,5,3,5,5,3,14,26
satisfied,Loyal Customer,71,Personal Travel,Eco,628,4,2,1,2,4,2,3,3,4,2,4,3,3,3,0,3
satisfied,Loyal Customer,52,Business travel,Business,3790,2,2,3,2,4,5,5,4,4,5,4,5,3,4,0,6
neutral or dissatisfied,Loyal Customer,9,Personal Travel,Eco,1382,0,4,3,5,3,2,5,4,4,3,2,3,2,1,22,4
neutral or dissatisfied,Loyal Customer,42,Business travel,Eco,1609,3,4,4,4,5,3,3,4,4,2,3,3,4,5,14,25
satisfied,Loyal Customer,57,Business travel,Business,1272,3,3,5,2,3,5,4,3,4,3,5,5,4,5,0,0
satisfied,Loyal Customer,53,Business travel,Business,1872,5,3,3,3,4,5,5,4,5,5,4,5,4,3,0,6
satisfied,Disloyal Customer,37,Business travel,Eco,3214,2,4,1,4,2,2,1,3,3,3,4,2,4,1,0,2
satisfied,Disloyal Customer,39,Business travel,Business,1933,4,4,4,3,4,2,3,4,5,4,4,5,4,3,0,7
neutral or dissatisfied,Disloyal Customer,58,Business travel,Eco,4834,1,2,1,4,4,3,0,2,1,3,2,2,2,0,74,88
neutral or dissatisfied,Disloyal Customer,30,Business travel,Eco,3761,3,2,3,2,3,2,3,3,3,2,3,3,2,2,17,17
neutral or dissatisfied,Loyal Customer,41,Business travel,Eco Plus,1287,4,4,3,2,4,4,3,4,2,3,2,3,4,4,0,11
satisfied,Loyal Customer,15,Personal Travel,Eco,414,3,1,5,2,4,5,4,4,3,2,4,3,3,4,0,0
satisfied,Loyal Customer,25,Business travel,Business,1321,4,4,5,4,5,4,4,4,5,4,5,5,5,5,0,8
neutral or dissatisfied,Disloyal Customer,37,Personal Travel,Eco,1092,2,3,2,3,3,3,1,3,3,3,3,1,4,3,15,16
satisfied,Loyal Customer,20,Business travel,Eco,3050,3,4,2,5,3,4,4,3,3,4,4,3,4,4,0,2
neutral or dissatisfied,Loyal Customer,55,Business travel,Eco,2379,3,3,2,4,3,5,4,3,3,3,4,3,3,4,0,0
satisfied,Loyal Customer,47,Personal Travel,Eco Plus,1491,4,5,4,3,3,3,4,2,3,4,4,4,2,4,0,0
satisfied,Loyal Customer,26,Business travel,Business,996,3,4,5,5,4,2,5,5,5,4,4,4,5,5,0,6
neutral or dissatisfied,Disloyal Customer,54,Business travel,Business,1703,3,3,4,3,2,5,2,3,5,3,3,4,4,4,0,0
satisfied,Loyal Customer,35,Business travel,Business,2282,3,1,3,3,4,3,3,3,4,5,3,5,3,3,121,122
neutral or dissatisfied,Loyal Customer,48,Personal Travel,Eco Plus,323,3,2,4,4,5,3,4,3,4,4,4,4,4,4,0,0
satisfied,Disloyal Customer,61,Business travel,Business,791,4,4,2,4,2,3,3,4,4,4,5,2,3,2,0,9
satisfied,Loyal Customer,24,Business travel,Business,735,5,3,4,3,2,5,4,4,5,4,5,4,5,4,4,16
satisfied,Loyal Customer,50,Business travel,Business,1642,3,5,3,1,4,5,5,5,3,5,3,3,5,5,16,24
neutral or dissatisfied,Disloyal Customer,37,Personal Travel,Eco,918,4,4,3,4,3,3,2,1,2,2,3,2,3,1,0,2
satisfied,Loyal Customer,20,Personal Travel,Business,2233,3,3,5,3,4,4,4,5,4,4,3,5,5,4,0,0
satisfied,Loyal Customer,54,Business travel,Business,1884,5,3,5,3,3,5,4,5,3,4,2,5,4,4,11,23
satisfied,Loyal Customer,32,Business travel,Business,1504,5,3,4,3,4,4,3,3,4,5,4,5,4,4,0,15
satisfied,Loyal Customer,42,Business travel,Business,2162,3,3,4,2,5,5,5,4,3,5,3,5,3,4,0,0
satisfied,Loyal Customer,35,Business travel,Business,1360,5,4,4,3,5,4,3,5,5,4,5,5,4,4,0,0
neutral or dissatisfied,Loyal Customer,57,Personal Travel,Eco,585,3,2,2,3,2,2,4,3,3,2,3,1,2,2,92,104
neutral or dissatisfied,Disloyal Customer,38,Business travel,Business,598,2,4,4,3,3,3,3,5,4,3,4,2,4,4,0,17
neutral or dissatisfied,Loyal Customer,41,Personal Travel,Eco,366,3,3,3,3,3,2,3,5,4,2,3,3,4,2,2,27
satisfied,Disloyal Customer,39,Business travel,Business,1788,3,3,4,3,2,3,4,3,4,3,2,2,2,4,0,14
satisfied,Disloyal Customer,53,Business travel,Eco,4983,3,3,2,5,3,2,2,1,3,4,4,3,2,2,0,7
neutral or dissatisfied,Disloyal Customer,24,Personal Travel,Eco Plus,2504,3,4,2,3,3,2,1,1,4,1,3,1,4,2,52,54
satisfied,Loyal Customer,41,Business travel,Eco,958,3,4,4,3,2,3,4,3,4,4,3,4,4,3,0,21
satisfied,Loyal Customer,47,Business travel,Business,1691,4,4,3,4,5,5,5,5,5,4,4,4,5,4,0,0
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco,2952,2,2,4,3,4,2,3,3,4,3,2,2,3,3,0,13
satisfied,Loyal Customer,7,Personal Travel,Eco Plus,1646,5,5,4,3,5,4,5,4,4,4,5,4,4,3,0,0
neutral or dissatisfied,Loyal Customer,41,Business travel,Business,4983,5,3,3,3,4,5,5,5,4,5,5,4,3,4,0,12
neutral or dissatisfied,Disloyal Customer,30,Personal Travel,Eco Plus,1833,4,3,3,5,3,3,3,4,4,3,3,3,3,3,0,0
satisfied,Loyal Customer,44,Business travel,Business,2775,5,2,5,4,3,5,4,3,5,5,4,5,4,3,0,3
satisfied,Disloyal Customer,33,Business travel,Eco,1314,3,5,1,3,1,3,3,4,2,2,2,1,3,2,0,0
satisfied,Disloyal Customer,56,Personal Travel,Eco Plus,694,4,5,2,3,2,3,3,2,2,4,4,3,3,2,0,6
satisfied,Disloyal Customer,34,Personal Travel,Eco,1230,3,4,5,2,2,3,2,4,2,3,2,4,2,4,0,0
satisfied,Loyal Customer,47,Business travel,Eco,1762,3,2,4,3,3,5,5,4,5,4,2,3,3,5,0,0
satisfied,Loyal Customer,32,Business travel,Business,2338,4,3,2,1,3,4,4,4,5,5,3,4,3,4,0,3
satisfied,Disloyal Customer,37,Personal Travel,Eco,241,2,3,1,4,5,2,3,3,4,2,2,3,3,3,0,0
satisfied,Loyal Customer,8,Personal Travel,Business,765,4,4,4,4,3,4,4,4,4,5,3,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,37,Business travel,Business,1224,3,3,4,2,5,3,2,3,3,4,4,2,3,4,56,60
neutral or dissatisfied,Disloyal Customer,56,Personal Travel,Eco,785,3,3,3,3,3,3,1,1,2,3,3,3,1,3,0,7
satisfied,Disloyal Customer,35,Business travel,Business,4983,5,4,2,2,3,3,2,5,4,4,3,4,4,3,0,4
satisfied,Loyal Customer,21,Personal Travel,Eco,391,4,4,2,5,4,3,3,3,2,3,3,4,3,3,0,14
satisfied,Loyal Customer,38,Business travel,Business,2060,5,4,3,4,5,3,5,4,4,4,4,2,4,5,38,44
satisfied,Disloyal Customer,31,Business travel,Eco Plus,4580,5,4,3,5,1,3,3,3,2,2,3,3,3,3,0,0
satisfied,Loyal Customer,8,Personal Travel,Business,1583,5,3,4,2,4,3,3,3,5,3,4,3,5,4,0,0
satisfied,Loyal Customer,41,Business travel,Business,2047,4,4,4,1,3,5,4,5,4,5,3,5,5,4,0,5
satisfied,Loyal Customer,14,Personal Travel,Eco Plus,1503,3,3,4,3,4,3,4,4,3,3,4,4,4,3,6,18
neutral or dissatisfied,Loyal Customer,44,Business travel,Business,4427,4,4,4,2,5,3,5,4,4,5,4,4,5,5,2,23
neutral or dissatisfied,Disloyal Customer,41,Personal Travel,Eco Plus,1621,2,2,3,3,3,2,1,2,2,3,0,3,2,3,83,90
satisfied,Loyal Customer,10,Personal Travel,Eco Plus,592,4,4,4,4,4,4,3,2,5,4,4,5,3,5,0,0
neutral or dissatisfied,Disloyal Customer,52,Personal Travel,Eco,1921,2,2,2,2,2,0,3,3,3,1,2,0,2,0,6,15
satisfied,Disloyal Customer,52,Personal Travel,Eco,476,2,2,2,3,2,3,0,2,1,2,1,1,3,2,0,0
satisfied,Disloyal Customer,37,Personal Travel,Eco,706,1,3,3,2,3,4,2,1,2,3,4,2,2,3,1,6
satisfied,Loyal Customer,50,Business travel,Eco Plus,4983,5,5,4,3,2,3,3,3,5,4,4,4,5,4,11,20
neutral or dissatisfied,Disloyal Customer,31,Business travel,Business,2727,3,2,2,2,2,4,3,3,3,4,2,1,4,1,253,250
neutral or dissatisfied,Disloyal Customer,60,Business travel,Eco,911,1,3,3,3,2,3,3,3,2,2,1,3,2,0,42,40
satisfied,Loyal Customer,39,Personal Travel,Business,916,5,3,4,3,5,3,4,3,5,5,3,4,2,4,0,0
satisfied,Loyal Customer,28,Personal Travel,Eco,669,4,1,2,3,3,1,4,3,3,4,3,4,2,2,46,56
satisfied,Loyal Customer,31,Business travel,Business,2155,5,3,4,5,5,5,5,5,3,5,3,5,5,5,0,14
satisfied,Disloyal Customer,52,Business travel,Business,1933,2,4,4,3,3,4,4,2,4,5,3,3,3,2,1,0
neutral or dissatisfied,Loyal Customer,51,Personal Travel,Eco Plus,178,4,4,3,3,2,2,4,1,3,4,3,4,3,5,1,0
satisfied,Loyal Customer,56,Business travel,Business,1797,5,2,3,3,5,5,5,5,5,4,4,4,3,4,0,3
satisfied,Loyal Customer,18,Business travel,Business,709,5,5,2,2,5,4,4,4,5,5,4,4,4,4,6,0
neutral or dissatisfied,Disloyal Customer,38,Business travel,Eco Plus,4983,1,4,2,3,4,2,4,1,1,2,4,2,3,1,71,76
neutral or dissatisfied,Loyal Customer,10,Personal Travel,Eco Plus,529,4,3,2,3,2,4,3,3,5,3,4,3,4,4,0,1
satisfied,Loyal Customer,33,Business travel,Business,1744,5,3,3,4,4,4,4,4,4,3,4,5,3,4,0,0
satisfied,Loyal Customer,42,Business travel,Business,1916,4,2,3,3,4,2,3,4,4,5,2,3,5,5,0,0
neutral or dissatisfied,Disloyal Customer,43,Business travel,Business,1584,1,3,5,3,3,4,3,3,3,5,3,4,4,3,0,3
satisfied,Loyal Customer,41,Business travel,Eco,2446,4,4,3,5,3,4,3,4,4,5,2,4,3,4,0,17
satisfied,Loyal Customer,13,Personal Travel,Business,355,5,3,3,4,4,4,5,5,5,3,4,4,4,3,0,3
satisfied,Loyal Customer,46,Personal Travel,Eco,1025,0,3,4,2,4,3,4,4,3,3,3,4,3,2,0,33
neutral or dissatisfied,Disloyal Customer,51,Business travel,Eco,1551,4,5,3,4,2,1,3,3,2,2,3,3,3,4,8,43
neutral or dissatisfied,Loyal Customer,21,Personal Travel,Eco Plus,1150,2,4,3,3,2,2,3,1,5,2,3,3,3,4,80,76
neutral or dissatisfied,Disloyal Customer,41,Business travel,Eco,3228,2,3,3,3,3,2,2,2,2,1,3,2,3,2,3,14
satisfied,Loyal Customer,25,Personal Travel,Eco Plus,1060,4,4,4,3,3,3,3,3,4,4,4,3,3,4,54,39
satisfied,Loyal Customer,25,Business travel,Eco,1429,4,3,5,3,2,4,2,3,1,2,4,3,3,4,8,25
neutral or dissatisfied,Loyal Customer,25,Business travel,Eco,1507,3,3,2,4,1,4,3,3,3,2,3,3,4,2,2,5
neutral or dissatisfied,Disloyal Customer,51,Personal Travel,Eco,2343,4,3,0,4,2,1,2,5,2,2,3,1,2,3,36,27
satisfied,Loyal Customer,50,Business travel,Business,710,4,3,5,4,5,5,5,5,2,5,4,5,5,5,0,0
neutral or dissatisfied,Disloyal Customer,51,Personal Travel,Eco,499,3,3,3,3,2,3,0,2,1,2,2,2,2,3,0,1
satisfied,Loyal Customer,30,Business travel,Business,3767,5,5,4,4,4,5,5,5,5,5,4,4,5,5,0,0
satisfied,Loyal Customer,26,Personal Travel,Eco Plus,1090,4,4,5,4,3,3,4,5,2,4,4,3,3,3,0,10
satisfied,Loyal Customer,7,Personal Travel,Eco,511,2,3,2,2,3,1,4,2,3,3,3,3,4,3,0,14
neutral or dissatisfied,Loyal Customer,55,Business travel,Eco,594,2,2,2,3,3,2,5,3,4,3,3,5,4,3,0,3
satisfied,Loyal Customer,48,Business travel,Eco,1157,3,1,3,4,1,5,4,5,3,4,4,5,4,5,2,0
satisfied,Disloyal Customer,55,Business travel,Eco,4983,1,2,2,2,2,2,2,2,3,1,2,4,2,2,33,34
satisfied,Loyal Customer,44,Business travel,Business,896,3,4,3,4,5,3,4,5,5,5,5,5,3,3,0,0
neutral or dissatisfied,Disloyal Customer,42,Business travel,Eco,3494,2,3,2,3,1,3,1,2,3,2,3,3,1,3,0,18
satisfied,Disloyal Customer,33,Business travel,Eco,859,4,4,1,3,4,4,2,2,3,3,3,4,3,0,0,18
satisfied,Loyal Customer,47,Business travel,Eco,2658,3,3,2,4,2,2,4,3,3,2,3,2,4,5,1,6
neutral or dissatisfied,Loyal Customer,44,Business travel,Eco,2510,2,5,4,3,3,4,5,3,4,3,4,3,3,3,0,0
satisfied,Loyal Customer,28,Business travel,Eco,946,2,2,0,3,1,3,3,2,2,3,3,4,4,4,0,0
satisfied,Loyal Customer,36,Business travel,Eco,442,2,2,3,3,3,3,5,4,3,3,3,3,3,3,0,12
neutral or dissatisfied,Disloyal Customer,38,Personal Travel,Eco Plus,498,3,3,4,5,2,1,3,2,4,2,2,3,2,4,0,11
satisfied,Loyal Customer,22,Business travel,Business,1132,3,1,5,4,3,3,4,4,5,4,2,3,3,5,71,67
satisfied,Loyal Customer,27,Personal Travel,Business,191,3,3,5,3,3,5,5,5,4,5,3,3,3,4,0,0
neutral or dissatisfied,Loyal Customer,21,Personal Travel,Business,1932,3,3,3,3,3,4,4,4,3,4,4,4,5,4,49,68
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco,1107,1,2,4,5,3,4,2,3,3,2,3,2,3,4,0,9
satisfied,Disloyal Customer,63,Personal Travel,Eco,631,2,3,3,3,1,2,2,2,2,3,2,2,1,2,0,5
satisfied,Loyal Customer,33,Business travel,Business,3523,4,3,5,4,5,5,5,4,3,4,3,5,4,5,0,0
satisfied,Loyal Customer,74,Personal Travel,Eco,2277,2,2,4,4,3,2,4,2,3,3,2,3,3,2,0,0
satisfied,Loyal Customer,63,Business travel,Business,1221,5,3,3,4,3,3,4,5,5,5,4,5,4,3,0,0
neutral or dissatisfied,Disloyal Customer,38,Business travel,Eco,4983,1,2,3,5,1,3,3,1,0,3,3,1,2,3,0,10
satisfied,Disloyal Customer,48,Business travel,Eco Plus,3622,5,3,3,0,4,4,3,3,2,3,2,4,2,4,0,0
satisfied,Loyal Customer,27,Business travel,Business,1440,5,4,5,3,5,4,5,4,4,4,2,5,4,5,0,0
satisfied,Loyal Customer,44,Personal Travel,Eco,920,2,3,3,4,1,3,4,4,3,3,4,3,2,2,0,7
neutral or dissatisfied,Disloyal Customer,31,Business travel,Business,4088,4,3,3,3,4,3,5,2,4,5,3,4,4,3,15,18
satisfied,Loyal Customer,53,Business travel,Eco,2202,3,3,5,5,4,1,3,3,4,2,4,4,4,2,0,11
satisfied,Disloyal Customer,15,Personal Travel,Eco,2260,3,3,3,3,3,3,3,3,4,3,3,2,1,3,0,4
satisfied,Loyal Customer,23,Personal Travel,Eco Plus,593,3,4,3,3,5,4,3,4,5,5,5,2,3,3,0,0
satisfied,Loyal Customer,42,Business travel,Business,4983,4,3,2,4,5,5,5,4,4,5,5,5,4,5,0,13
neutral or dissatisfied,Loyal Customer,11,Personal Travel,Eco,2060,2,4,4,2,3,3,3,4,3,4,4,3,2,4,13,7
satisfied,Loyal Customer,32,Business travel,Business,1692,5,4,5,4,2,4,4,4,4,4,3,3,3,3,0,0
neutral or dissatisfied,Loyal Customer,12,Personal Travel,Eco Plus,976,4,2,3,4,5,1,3,4,2,3,4,3,4,2,0,12
satisfied,Loyal Customer,21,Personal Travel,Eco,420,4,4,1,2,5,4,4,5,3,2,3,4,4,3,13,4
satisfied,Loyal Customer,44,Business travel,Business,1232,4,1,4,3,5,4,5,5,4,4,4,3,3,4,0,13
satisfied,Loyal Customer,43,Business travel,Business,1299,3,2,3,3,2,5,5,4,5,4,4,4,4,2,0,0
satisfied,Loyal Customer,41,Business travel,Business,893,5,4,5,2,4,5,3,4,4,4,5,4,4,3,10,21
satisfied,Loyal Customer,28,Business travel,Business,823,4,4,5,2,4,4,5,4,5,4,3,5,5,5,0,1
satisfied,Loyal Customer,40,Business travel,Business,2180,5,3,2,3,5,4,4,5,5,5,5,3,5,5,49,39
satisfied,Loyal Customer,51,Business travel,Business,1816,5,2,4,2,4,4,4,3,4,4,4,5,5,2,17,22
neutral or dissatisfied,Loyal Customer,31,Personal Travel,Eco,1629,3,1,2,4,3,3,3,3,4,2,3,4,4,4,0,13
satisfied,Loyal Customer,26,Personal Travel,Business,460,3,4,4,4,5,5,5,3,5,4,2,3,4,5,0,10
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco,1685,2,3,4,3,4,2,1,3,4,3,2,2,2,2,0,1
satisfied,Loyal Customer,10,Personal Travel,Eco,872,3,3,4,4,2,4,4,4,4,3,5,4,3,3,5,17
satisfied,Loyal Customer,44,Business travel,Business,1679,4,5,3,2,3,3,5,5,3,4,4,2,4,4,3,0
neutral or dissatisfied,Loyal Customer,33,Business travel,Eco,481,3,5,3,4,1,4,4,4,3,4,4,4,4,2,0,0
satisfied,Loyal Customer,38,Business travel,Business,1508,4,4,4,4,5,3,4,4,5,5,3,3,4,3,8,25
neutral or dissatisfied,Disloyal Customer,15,Personal Travel,Eco,976,2,5,2,2,3,4,2,2,2,2,3,4,1,3,0,0
satisfied,Loyal Customer,50,Business travel,Business,1251,3,5,5,4,2,4,3,4,5,5,5,3,4,4,0,2
satisfied,Loyal Customer,22,Personal Travel,Eco,712,2,3,3,4,5,1,3,3,3,5,2,3,3,2,28,46
neutral or dissatisfied,Disloyal Customer,62,Personal Travel,Eco,337,3,2,1,2,3,3,3,2,1,2,2,1,2,2,52,60
satisfied,Loyal Customer,7,Personal Travel,Eco,344,4,5,4,3,1,3,5,2,4,4,3,4,3,4,0,0
satisfied,Loyal Customer,39,Business travel,Business,494,3,3,5,3,3,5,5,5,4,4,4,5,5,4,0,1
neutral or dissatisfied,Loyal Customer,45,Business travel,Business,4050,4,3,4,3,3,3,4,3,4,5,3,4,5,5,0,0
satisfied,Disloyal Customer,52,Personal Travel,Eco,763,3,5,0,2,2,3,3,3,2,2,2,4,2,1,0,16
neutral or dissatisfied,Disloyal Customer,46,Business travel,Eco,2076,2,4,2,2,1,2,3,4,3,3,4,3,3,2,0,7
satisfied,Loyal Customer,29,Business travel,Business,849,5,3,5,5,4,4,5,5,4,5,5,2,5,4,0,0
neutral or dissatisfied,Disloyal Customer,22,Business travel,Business,2074,4,4,4,5,1,5,2,3,5,4,4,4,3,3,0,0
